series_name,episode_name,episode_number,episode_season,rating,total_votes,description
Seinfeld,"Good News, Bad News",1,1,7.4,6107,"
Jerry and George argue whether an overnight visitor Jerry is expecting is coming with romantic intentions.    "
Seinfeld,The Stakeout,2,1,7.5,5184,"
Jerry and George stake out the lobby of an office building to find a woman Jerry met at a party but whose name and phone number he didn't get.    "
Seinfeld,The Robbery,3,1,7.5,4752,"
After Jerry's apartment is robbed, Jerry starts to look for other apartments. But Jerry and George both want the same apartment, and Elaine wants the apartment of whoever loses out.    "
Seinfeld,Male Unbonding,4,1,7.3,4638,"
Jerry tries various excuses to avoid meeting with an old friend with whom he no longer shares any interests.    "
Seinfeld,The Stock Tip,5,1,7.4,4477,"
Jerry becomes apprehensive when he and George buy stock and the price falls while the person who suggested the stock is in hospital and can't tell them when to sell.    "
Seinfeld,The Ex-Girlfriend,1,2,7.5,4357,"
After George breaks up with his girlfriend, Jerry decides that he wants to see her.    "
Seinfeld,The Pony Remark,2,2,7.9,4529,"
Jerry fears that an inappropriate comment he made at a dinner party caused his relative's subsequent death.    "
Seinfeld,The Jacket,3,2,8.2,4604,"
Jerry wears an expensive jacket when he meets Elaine's father, but an argument ensues when Jerry is reluctant to wear it outside during a snowfall.    "
Seinfeld,The Phone Message,4,2,8.3,4469,"
George leaves several awkward messages on a girlfriend's answering machine, then decides to steal the tape.    "
Seinfeld,The Apartment,5,2,7.8,4098,"
When an apartment becomes available in Jerry's building, he helps Elaine get it, only to regret his decision to do so. George starts wearing a wedding ring because he's heard that it helps single guys pick up women.    "
Seinfeld,The Statue,6,2,7.9,4138,"
A statue wanted by George is stolen from Jerry's apartment by the boyfriend of a writer Elaine is working with.    "
Seinfeld,The Revenge,7,2,8.2,4200,"
George takes revenge on his boss for not hiring him back after he quit and was rude to him, and Jerry and Kramer take revenge on a dry cleaner after Jerry accuses him of stealing $1,500 from his laundry bag.    "
Seinfeld,The Heart Attack,8,2,7.8,4156,"
After suffering what he thinks is a heart attack, George discovers he has inflamed tonsils and seeks alternative medicine to heal.    "
Seinfeld,The Deal,9,2,8.2,4163,"
Jerry and Elaine believe that they have found a foolproof way to start having sex again yet still remain just friends, but they quickly start encountering problems.    "
Seinfeld,The Baby Shower,10,2,7.4,3993,"
Kramer convinces Jerry to get illegal cable. Elaine holds a baby shower for a former girlfriend of George, on whom he wants revenge for a callous incident.    "
Seinfeld,The Chinese Restaurant,11,2,8.6,5026,"
Jerry, Elaine and George stop for a quick Chinese dinner before seeing ""Plan 9 From Outer Space,"" but circumstances at the eatery make them miss the movie.    "
Seinfeld,The Busboy,12,2,7.6,3975,"
George tries to apologize to a busboy after one of his comments got him fired, but he only makes things worse. Elaine tries to get one of her male friends out of her house.    "
Seinfeld,The Note,1,3,8.2,4256,"
Physical therapy proves painful for Jerry when his small talk with the therapist leads to a misunderstanding; Jerry uses a dentist note to cover his therapy.    "
Seinfeld,The Truth,2,3,7.7,3850,"
A bad breakup between George and his girlfriend leads to tax troubles for Jerry.    "
Seinfeld,The Pen,3,3,8.2,4284,"
Jerry and Elaine travel to Florida for a dinner in honor of his father. Jerry gets into an argument with a neighbor of his parents over an ""astronaut pen.""    "
Seinfeld,The Dog,4,3,7.1,4181,"
Jerry is forced to care for the disobedient dog of a man he met on a plane.    "
Seinfeld,The Library,5,3,8.5,4687,"
The library asks Jerry about a book he checked out in 1971 and never returned, so Jerry looks up an old girlfriend for his defense against a library cop.    "
Seinfeld,The Parking Garage,6,3,8.7,5142,"
The four get stuck in a parking garage for hours when they forget where they parked.    "
Seinfeld,The Cafe,7,3,8.4,4003,"
Jerry tries to help a new immigrant restaurant owner across the street from him. George, afraid of embarrassment, asks Elaine to take an IQ test for him.    "
Seinfeld,The Tape,8,3,8.7,4342,"
George orders hair growing cream from China. Jerry is mesmerized by a dirty message left on a tape recorder from his last performance. George becomes infatuated with Elaine.    "
Seinfeld,The Nose Job,9,3,7.9,3917,"
Jerry dates a vacuous actress and struggles with overcoming his sexual desire for her. George dates a woman with a large nose, who decides to get a nose job after a careless comment from Kramer.    "
Seinfeld,The Stranded,10,3,7.5,3865,"
Jerry and Elaine join George for a special party, where they send signals to each other to get out of bad party conversations; George had an office romance.    "
Seinfeld,The Alternate Side,11,3,8.2,3883,"
Jerry's car is stolen. Elaine dates an older man. Kramer gets a small role in a Woody Allen movie filmed on his and Jerry's block. George must deal with the commotion of the movie filming as he gets a job parking cars on the block.    "
Seinfeld,The Red Dot,12,3,8.3,3935,"
George gets a job at Elaine's office and gets involved with the cleaning woman. Elaine's boyfriend is a recovering alcoholic who falls off the wagon because of Jerry's carelessness. George buys Elaine a marked-down cashmere sweater.    "
Seinfeld,The Subway,13,3,8.7,4609,"
Everyone has an uncommon experience while going their separate ways on the subway; Kramer overheard a hot tip on a horse on his way to pay a traffic violation.    "
Seinfeld,The Pez Dispenser,14,3,8.4,3977,"
Jerry's Pez dispenser makes Elaine laugh during George's girlfriend's piano recital and puts their relationship in jeopardy; Kramer joins the Polar Bear Club.    "
Seinfeld,The Suicide,15,3,7.5,3606,"
After a suicide attempt by Jerry's neighbor lands him in a coma, Jerry begins a relationship with his girlfriend. George visits a psychic who predicts trouble on his upcoming trip. Elaine agonizes over having to fast before surgery.    "
Seinfeld,The Fix Up,16,3,8.4,3962,"
Against their better judgment, Jerry and Elaine decide to play matchmaker for the jobless, dateless and possibly hopeless George, setting him up with a single friend of Elaine's.    "
Seinfeld,The Boyfriend,17,3,8.7,4590,"
Elaine and Keith are hitting it off until he pulls out a cigarette; Keith wants Jerry to help him move, leading Jerry along with Elaine to breakup with Keith.    "
Seinfeld,The Limo,18,3,8.9,5140,"
Jerry and George take a limo from a passenger that Jerry knows never made it on the plane, but their false identities land them in hot water.    "
Seinfeld,The Good Samaritan,19,3,7.9,3583,"
Jerry dates a woman who sideswiped a car, then learns the victim is someone he wants to date. George is drawn into Robin and Michael's marital problems when he says ""Bless you"" after Robin sneezes. Kramer has mysterious seizures.    "
Seinfeld,The Letter,20,3,7.9,3499,"
Jerry learns that his new artist friend, from whom George has been forced to buy a painting, plagiarized a letter to keep him from breaking up with her. Elaine refuses to remove her Baltimore Orioles cap during a New York Yankees game.    "
Seinfeld,The Parking Space,21,3,8.2,3710,"
Coming from an outing to a flea market in Westchester, Elaine and George damage Jerry's car when George drives over a large pothole. When they get to his apartment they conveniently find a parking space right in front of Jerry's building. As George tries to back in however, someone tries to take the spot by driving in nose-first. Neither car is able to park, and an all-day argument ensues.. Meanwhile, Elaine must come up with a story about the damage to the car.    "
Seinfeld,The Keys,22,3,8.3,3647,"
Jerry is fed up with Kramer's coming into his apartment any time he feels like it and asks him to return his spare set of keys. Kramer begrudgingly complies but then lets it be known that he's leaving for California. As for the others, the one key swap leads to multiple exchanges on pretty well everyone's part. When Jerry forgets his keys, he gets George to let him into Elaine's apartment so he can get his spare set. What they find interests them.    "
Seinfeld,The Trip: Part 1,1,4,8.1,3677,"
When Jerry is asked to appear on The Tonight Show in Los Angeles, George accompanies him to look for Kramer.    "
Seinfeld,The Trip: Part 2,2,4,8.3,3643,"
Kramer is arrested when he is mistaken for a serial killer. After he is exonerated, he, Jerry, and George return to New York.    "
Seinfeld,The Pitch,3,4,8.6,3796,"
NBC executives ask Jerry to come up with an idea for a TV series. George decides he can be a sitcom writer and comes up with ""nothing."" Kramer trades a radar detector for a helmet, and later Newman receives a speeding ticket.    "
Seinfeld,The Ticket,4,4,8.2,3473,"
Newman uses Kramer as his witness when the former refuses to pay for a speeding ticket.    "
